ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
8742,"Hermine ""Herma"" Bauma",F,33.0,161.0,68.0,Austria,AUT,1948 Summer,1948,Summer,London,Athletics,Athletics Women's Javelin Throw,Gold
8749,"Alexander ""Alex"" Baumann",M,20.0,189.0,80.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Individual Medley,Gold
8749,"Alexander ""Alex"" Baumann",M,20.0,189.0,80.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 400 metres Individual Medley,Gold
8752,Dieter Baumann,M,27.0,178.0,62.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",Gold
8769,Matthias Andreas Baumann,M,25.0,176.0,69.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
8772,Wilhelm Baumann,M,23.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Handball,Handball Men's Handball,Gold
8784,Bernd Baumgart,M,21.0,190.0,84.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Eights,Gold
8786,Wolfgang Baumgart,M,22.0,186.0,77.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,Gold
8793,Bruce Robert Baumgartner,M,23.0,188.0,130.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
8793,Bruce Robert Baumgartner,M,31.0,188.0,130.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
8820,"James Aloysius Bernard ""Jim"" Bausch",M,26.0,188.0,95.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,Gold
8827,Sergey Viktorovich Bautin,M,24.0,191.0,91.0,Unified Team,EUN,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
8828,Daniel Bautista Rocha,M,23.0,170.0,68.0,Mexico,MEX,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 20 kilometres Walk,Gold
8849,Florence  Andre Isabelle Baverel-Robert,F,31.0,167.0,60.0,France,FRA,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Gold
8862,"Irving Knott ""Irv"" Baxter",M,24.0,,,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's High Jump,Gold
8862,"Irving Knott ""Irv"" Baxter",M,24.0,,,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Pole Vault,Gold
8910,Ryan Neville Bayley,M,22.0,182.0,90.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Sprint,Gold
8910,Ryan Neville Bayley,M,22.0,182.0,90.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Keirin,Gold
8930,Mithat Bayrak,M,27.0,172.0,78.0,Turkey,TUR,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Gold
8930,Mithat Bayrak,M,31.0,172.0,78.0,Turkey,TUR,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Gold
8967,Svetlana Valeryevna Bazhanova,F,21.0,175.0,70.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Women's 3,000 metres",Gold
8970,Nikolay Serafimovich Bazhukov,M,22.0,175.0,70.0,Soviet Union,URS,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Gold
8970,Nikolay Serafimovich Bazhukov,M,26.0,175.0,70.0,Soviet Union,URS,1980 Winter,1980,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
9009,Charles Beachey Beachcroft (Kay-),M,,,,Devon and Somerset Wanderers,GBR,1900 Summer,1900,Summer,Paris,Cricket,Cricket Men's Cricket,Gold
9026,"Robert ""Bob"" Beamon",M,22.0,191.0,70.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Long Jump,Gold
9034,Amanda Ray Beard (-Brown),F,14.0,173.0,59.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
9034,Amanda Ray Beard (-Brown),F,22.0,173.0,59.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Breaststroke,Gold
9035,"Elizabeth Ann ""Betsy"" Beard (-Stillings)",F,22.0,155.0,42.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Eights,Gold
9039,"Ralph Milton Beard, Jr.",M,20.0,178.0,79.0,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
9067,Clment Beaud,M,19.0,184.0,81.0,Cameroon,CMR,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Gold
9073,Roger Joseph Edmond Beaufrand,M,19.0,,,France,FRA,1928 Summer,1928,Summer,Amsterdam,Cycling,Cycling Men's Sprint,Gold
9104,Bronisaw Bebel,M,27.0,191.0,91.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,Gold
9106,Serhiy Vasylovych Bebeshko,M,24.0,,,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Handball,Handball Men's Handball,Gold
9110,Milivoj Bebi,M,24.0,188.0,88.0,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Gold
9111,Anna Rose Bebington-Watkins,F,29.0,183.0,78.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Double Sculls,Gold
